Date,T1,T2,T3,T4,T5,Close
1990-10-29,-0.8150732007864736,-0.8068272004909681,-0.81718875146263,-0.8162451390789004,-0.8090781302457323,-0.8142892144805055
1990-11-05,-0.8068272004909681,-0.81718875146263,-0.8162451390789004,-0.8090781302457323,-0.8142892144805055,-0.8092862503218011
1990-11-12,-0.81718875146263,-0.8162451390789004,-0.8090781302457323,-0.8142892144805055,-0.8092862503218011,-0.8015837869239899
1990-11-19,-0.8162451390789004,-0.8090781302457323,-0.8142892144805055,-0.8092862503218011,-0.8015837869239899,-0.8034962689822346
1990-11-26,-0.8090781302457323,-0.8142892144805055,-0.8092862503218011,-0.8015837869239899,-0.8034962689822346,-0.8016827955038675
1990-12-03,-0.8142892144805055,-0.8092862503218011,-0.8015837869239899,-0.8034962689822346,-0.8016827955038675,-0.7923901330782289
1990-12-10,-0.8092862503218011,-0.8015837869239899,-0.8034962689822346,-0.8016827955038675,-0.7923901330782289,-0.7914828911932296
1990-12-17,-0.8015837869239899,-0.8034962689822346,-0.8016827955038675,-0.7923901330782289,-0.7914828911932296,-0.7901775944054579
1990-12-24,-0.8034962689822346,-0.8016827955038675,-0.7923901330782289,-0.7914828911932296,-0.7901775944054579,-0.7903675292321615
1990-12-31,-0.8016827955038675,-0.7923901330782289,-0.7914828911932296,-0.7901775944054579,-0.7903675292321615,-0.794959304696885
1991-01-07,-0.7923901330782289,-0.7914828911932296,-0.7901775944054579,-0.7903675292321615,-0.794959304696885,-0.8056451592822272
1991-01-14,-0.7914828911932296,-0.7901775944054579,-0.7903675292321615,-0.794959304696885,-0.8056451592822272,-0.799381351167533
1991-01-21,-0.7901775944054579,-0.7903675292321615,-0.794959304696885,-0.8056451592822272,-0.799381351167533,-0.7876942975754709
1991-01-28,-0.7903675292321615,-0.794959304696885,-0.8056451592822272,-0.799381351167533,-0.7876942975754709,-0.7797473436028604
1991-02-04,-0.794959304696885,-0.8056451592822272,-0.799381351167533,-0.7876942975754709,-0.7797473436028604,-0.7648394802898879
1991-02-11,-0.8056451592822272,-0.799381351167533,-0.7876942975754709,-0.7797473436028604,-0.7648394802898879,-0.7521421350664236
1991-02-18,-0.799381351167533,-0.7876942975754709,-0.7797473436028604,-0.7648394802898879,-0.7521421350664236,-0.7531408083440647
1991-02-25,-0.7876942975754709,-0.7797473436028604,-0.7648394802898879,-0.7521421350664236,-0.7531408083440647,-0.7523502551424924
1991-03-04,-0.7797473436028604,-0.7648394802898879,-0.7521421350664236,-0.7531408083440647,-0.7523502551424924,-0.7447265944919305
1991-03-11,-0.7648394802898879,-0.7521421350664236,-0.7531408083440647,-0.7523502551424924,-0.7447265944919305,-0.7464299461824748
1991-03-18,-0.7521421350664236,-0.7531408083440647,-0.7523502551424924,-0.7447265944919305,-0.7464299461824748,-0.7512732842634174
1991-03-25,-0.7531408083440647,-0.7523502551424924,-0.7447265944919305,-0.7464299461824748,-0.7512732842634174,-0.745172133101379
1991-04-01,-0.7523502551424924,-0.7447265944919305,-0.7464299461824748,-0.7512732842634174,-0.745172133101379,-0.7423443268250838
1991-04-08,-0.7447265944919305,-0.7464299461824748,-0.7512732842634174,-0.745172133101379,-0.7423443268250838,-0.7426413525647162
1991-04-15,-0.7464299461824748,-0.7512732842634174,-0.745172133101379,-0.7423443268250838,-0.7426413525647162,-0.732837482573588
1991-04-22,-0.7512732842634174,-0.745172133101379,-0.7423443268250838,-0.7426413525647162,-0.732837482573588,-0.7385314862081716
1991-04-29,-0.745172133101379,-0.7423443268250838,-0.7426413525647162,-0.732837482573588,-0.7385314862081716,-0.7411824914489712
1991-05-06,-0.7423443268250838,-0.7426413525647162,-0.732837482573588,-0.7385314862081716,-0.7411824914489712,-0.7403176818124908
1991-05-13,-0.7426413525647162,-0.732837482573588,-0.7385314862081716,-0.7411824914489712,-0.7403176818124908,-0.7470603681604698
1991-05-20,-0.732837482573588,-0.7385314862081716,-0.7411824914489712,-0.7403176818124908,-0.7470603681604698,-0.7440800078478329
1991-05-27,-0.7385314862081716,-0.7411824914489712,-0.7403176818124908,-0.7470603681604698,-0.7440800078478329,-0.733851815371516
1991-06-03,-0.7411824914489712,-0.7403176818124908,-0.7470603681604698,-0.7440800078478329,-0.733851815371516,-0.7344478874340433
1991-06-10,-0.7403176818124908,-0.7470603681604698,-0.7440800078478329,-0.733851815371516,-0.7344478874340433,-0.7400570265715891
1991-06-17,-0.7470603681604698,-0.7440800078478329,-0.733851815371516,-0.7344478874340433,-0.7400570265715891,-0.7419179837566321
1991-06-24,-0.7440800078478329,-0.733851815371516,-0.7344478874340433,-0.7400570265715891,-0.7419179837566321,-0.7476241108907924
1991-07-01,-0.733851815371516,-0.7344478874340433,-0.7400570265715891,-0.7419179837566321,-0.7476241108907924,-0.7436314383634903
1991-07-08,-0.7344478874340433,-0.7400570265715891,-0.7419179837566321,-0.7476241108907924,-0.7436314383634903,-0.7419119220068435
1991-07-15,-0.7400570265715891,-0.7419179837566321,-0.7476241108907924,-0.7436314383634903,-0.7419119220068435,-0.7363169269521376
1991-07-22,-0.7419179837566321,-0.7476241108907924,-0.7436314383634903,-0.7419119220068435,-0.7363169269521376,-0.7387153592850867
1991-07-29,-0.7476241108907924,-0.7436314383634903,-0.7419119220068435,-0.7363169269521376,-0.7387153592850867,-0.7328314208237996
1991-08-05,-0.7436314383634903,-0.7419119220068435,-0.7363169269521376,-0.7387153592850867,-0.7328314208237996,-0.7306633349828104
1991-08-12,-0.7419119220068435,-0.7363169269521376,-0.7387153592850867,-0.7328314208237996,-0.7306633349828104,-0.7307098083978548
1991-08-19,-0.7363169269521376,-0.7387153592850867,-0.7328314208237996,-0.7306633349828104,-0.7307098083978548,-0.7328233384907484
1991-08-26,-0.7387153592850867,-0.7328314208237996,-0.7306633349828104,-0.7307098083978548,-0.7328233384907484,-0.7240418836305995
1991-09-02,-0.7328314208237996,-0.7306633349828104,-0.7307098083978548,-0.7328233384907484,-0.7240418836305995,-0.729093341787611
1991-09-09,-0.7306633349828104,-0.7307098083978548,-0.7328233384907484,-0.7240418836305995,-0.729093341787611,-0.7333971841373851
1991-09-16,-0.7307098083978548,-0.7328233384907484,-0.7240418836305995,-0.729093341787611,-0.7333971841373851,-0.7324778187528088
1991-09-23,-0.7328233384907484,-0.7240418836305995,-0.729093341787611,-0.7333971841373851,-0.7324778187528088,-0.7326394654138332
1991-09-30,-0.7240418836305995,-0.729093341787611,-0.7333971841373851,-0.7324778187528088,-0.7326394654138332,-0.7330173144839776
1991-10-07,-0.729093341787611,-0.7333971841373851,-0.7324778187528088,-0.7326394654138332,-0.7330173144839776,-0.7394953044245293
1991-10-14,-0.7333971841373851,-0.7324778187528088,-0.7326394654138332,-0.7330173144839776,-0.7394953044245293,-0.7282345939009192
1991-10-21,-0.7324778187528088,-0.7326394654138332,-0.7330173144839776,-0.7394953044245293,-0.7282345939009192,-0.7322030194290674
1991-10-28,-0.7326394654138332,-0.7330173144839776,-0.7394953044245293,-0.7282345939009192,-0.7322030194290674,-0.7276203365890266
1991-11-04,-0.7330173144839776,-0.7394953044245293,-0.7282345939009192,-0.7322030194290674,-0.7276203365890266,-0.7280588031570552
